X,Y,FID_,scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart,Longitude,Latitude
-69.9826771125,12.5208803838,0,3,Admin-0 country,5.0000000000000000000000000000000,Netherlands,NL1,1.0000000000000000000000000000000,2.0000000000000000000000000000000,Country,Aruba,ABW,0.0000000000000000000000000000000,Aruba,ABW,0.0000000000000000000000000000000,Aruba,ABW,0.0000000000000000000000000000000,Aruba,Aruba,ABW,Aruba,,Aruba,AW,Aruba,,Neth.,,Aruba,,4.0000000000000000000000000000000,2.0000000000000000000000000000000,2.0000000000000000000000000000000,9.0000000000000000000000000000000,103065.0000000000000000000000000000000,2258.0000000000000000000000000000000,-99.0000000000000000000000000000000,2010.0000000000000000000000000000000,-99.0000000000000000000000000000000,6. Developing region,2. High income: nonOECD,-99.0000000000000000000000000000000,,AW,ABW,533,533,AW,ABW,-99.0000000000000000000000000000000,ABW,ABW,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,North America,Americas,Caribbean,Latin America & Caribbean,5.0000000000000000000000000000000,5.0000000000000000000000000000000,5.0000000000000000000000000000000,4.0000000000000000000000000000000,-99.0000000000000000000000000000000,-69.9826771124999993389792507514358,12.5208803837999997909946614527144
66.0047336558,33.8352307278,1,1,Admin-0 country,3.0000000000000000000000000000000,Afghanistan,AFG,0.0000000000000000000000000000000,2.0000000000000000000000000000000,Sovereign country,Afghanistan,AFG,0.0000000000000000000000000000000,Afghanistan,AFG,0.0000000000000000000000000000000,Afghanistan,AFG,0.0000000000000000000000000000000,Afghanistan,Afghanistan,AFG,Afghanistan,,Afg.,AF,Islamic State of Afghanistan,,,,Afghanistan,,5.0000000000000000000000000000000,6.0000000000000000000000000000000,8.0000000000000000000000000000000,7.0000000000000000000000000000000,28400000.0000000000000000000000000000000,22270.0000000000000000000000000000000,-99.0000000000000000000000000000000,1979.0000000000000000000000000000000,-99.0000000000000000000000000000000,7. Least developed region,5. Low income,-99.0000000000000000000000000000000,,AF,AFG,4,4,AF,AFG,-99.0000000000000000000000000000000,AFG,AFG,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,Asia,Asia,Southern Asia,South Asia,11.0000000000000000000000000000000,11.0000000000000000000000000000000,4.0000000000000000000000000000000,-99.0000000000000000000000000000000,1.0000000000000000000000000000000,66.0047336557999955175546347163618,33.8352307278000026258268917445093
17.5373676815,-12.2933605438,2,1,Admin-0 country,3.0000000000000000000000000000000,Angola,AGO,0.0000000000000000000000000000000,2.0000000000000000000000000000000,Sovereign country,Angola,AGO,0.0000000000000000000000000000000,Angola,AGO,0.0000000000000000000000000000000,Angola,AGO,0.0000000000000000000000000000000,Angola,Angola,AGO,Angola,,Ang.,AO,People's Republic of Angola,,,,Angola,,3.0000000000000000000000000000000,2.0000000000000000000000000000000,6.0000000000000000000000000000000,1.0000000000000000000000000000000,12799293.0000000000000000000000000000000,110300.0000000000000000000000000000000,-99.0000000000000000000000000000000,1970.0000000000000000000000000000000,-99.0000000000000000000000000000000,7. Least developed region,3. Upper middle income,-99.0000000000000000000000000000000,,AO,AGO,24,24,AO,AGO,-99.0000000000000000000000000000000,AGO,AGO,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,Africa,Africa,Middle Africa,Sub-Saharan Africa,6.0000000000000000000000000000000,6.0000000000000000000000000000000,4.0000000000000000000000000000000,-99.0000000000000000000000000000000,1.0000000000000000000000000000000,17.5373676815000010265066521242261,-12.2933605438000004284049282432534
-63.0649892654,18.2239595023,3,1,Admin-0 country,6.0000000000000000000000000000000,United Kingdom,GB1,1.0000000000000000000000000000000,2.0000000000000000000000000000000,Dependency,Anguilla,AIA,0.0000000000000000000000000000000,Anguilla,AIA,0.0000000000000000000000000000000,Anguilla,AIA,0.0000000000000000000000000000000,Anguilla,Anguilla,AIA,Anguilla,,Ang.,AI,,,U.K.,,Anguilla,,6.0000000000000000000000000000000,6.0000000000000000000000000000000,6.0000000000000000000000000000000,3.0000000000000000000000000000000,14436.0000000000000000000000000000000,108.9000000000000056843418860808015,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,6. Developing region,3. Upper middle income,-99.0000000000000000000000000000000,,AI,AIA,660,660,-99,-99,-99.0000000000000000000000000000000,AIA,AIA,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,North America,Americas,Caribbean,Latin America & Caribbean,8.0000000000000000000000000000000,8.0000000000000000000000000000000,4.0000000000000000000000000000000,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,-63.0649892654000012726100976578891,18.2239595023000013895853044232354
20.0498339611,41.1424498947,4,1,Admin-0 country,6.0000000000000000000000000000000,Albania,ALB,0.0000000000000000000000000000000,2.0000000000000000000000000000000,Sovereign country,Albania,ALB,0.0000000000000000000000000000000,Albania,ALB,0.0000000000000000000000000000000,Albania,ALB,0.0000000000000000000000000000000,Albania,Albania,ALB,Albania,,Alb.,AL,Republic of Albania,,,,Albania,,1.0000000000000000000000000000000,4.0000000000000000000000000000000,1.0000000000000000000000000000000,6.0000000000000000000000000000000,3639453.0000000000000000000000000000000,21810.0000000000000000000000000000000,-99.0000000000000000000000000000000,2001.0000000000000000000000000000000,-99.0000000000000000000000000000000,6. Developing region,4. Lower middle income,-99.0000000000000000000000000000000,,AL,ALB,8,8,AL,ALB,-99.0000000000000000000000000000000,ALB,ALB,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,Europe,Europe,Southern Europe,Europe & Central Asia,7.0000000000000000000000000000000,7.0000000000000000000000000000000,4.0000000000000000000000000000000,-99.0000000000000000000000000000000,1.0000000000000000000000000000000,20.0498339610999991577955370303243,41.1424498947000003568064130377024
19.953287676,60.2148868756,5,3,Admin-0 country,6.0000000000000000000000000000000,Finland,FI1,1.0000000000000000000000000000000,2.0000000000000000000000000000000,Country,Aland,ALD,0.0000000000000000000000000000000,Aland,ALD,0.0000000000000000000000000000000,Aland,ALD,0.0000000000000000000000000000000,Aland,Aland Islands,ALD,Aland,,Aland,AI,"Ãland Islands",,Fin.,,Aland,,4.0000000000000000000000000000000,1.0000000000000000000000000000000,4.0000000000000000000000000000000,6.0000000000000000000000000000000,27153.0000000000000000000000000000000,1563.0000000000000000000000000000000,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,2. Developed region: nonG7,1. High income: OECD,-99.0000000000000000000000000000000,,AX,ALA,248,248,-99,-99,-99.0000000000000000000000000000000,ALA,ALD,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,Europe,Europe,Northern Europe,Europe & Central Asia,5.0000000000000000000000000000000,13.0000000000000000000000000000000,5.0000000000000000000000000000000,5.0000000000000000000000000000000,-99.0000000000000000000000000000000,19.9532876759999986404636729275808,60.2148868756000013036100426688790
1.56054377918,42.5422910219,6,3,Admin-0 country,6.0000000000000000000000000000000,Andorra,AND,0.0000000000000000000000000000000,2.0000000000000000000000000000000,Sovereign country,Andorra,AND,0.0000000000000000000000000000000,Andorra,AND,0.0000000000000000000000000000000,Andorra,AND,0.0000000000000000000000000000000,Andorra,Andorra,AND,Andorra,,And.,AND,Principality of Andorra,,,,Andorra,,1.0000000000000000000000000000000,4.0000000000000000000000000000000,1.0000000000000000000000000000000,8.0000000000000000000000000000000,83888.0000000000000000000000000000000,3660.0000000000000000000000000000000,-99.0000000000000000000000000000000,1989.0000000000000000000000000000000,-99.0000000000000000000000000000000,2. Developed region: nonG7,2. High income: nonOECD,-99.0000000000000000000000000000000,,AD,AND,20,20,AD,ADO,-99.0000000000000000000000000000000,AND,AND,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,Europe,Europe,Southern Europe,Europe & Central Asia,7.0000000000000000000000000000000,7.0000000000000000000000000000000,4.0000000000000000000000000000000,5.0000000000000000000000000000000,1.0000000000000000000000000000000,1.5605437791800000901787370821694,42.5422910218999987819188390858471
54.3001671016,23.9052818785,7,1,Admin-0 country,4.0000000000000000000000000000000,United Arab Emirates,ARE,0.0000000000000000000000000000000,2.0000000000000000000000000000000,Sovereign country,United Arab Emirates,ARE,0.0000000000000000000000000000000,United Arab Emirates,ARE,0.0000000000000000000000000000000,United Arab Emirates,ARE,0.0000000000000000000000000000000,United Arab Emirates,United Arab Emirates,ARE,United Arab Emirates,,U.A.E.,AE,United Arab Emirates,,,,United Arab Emirates,,2.0000000000000000000000000000000,1.0000000000000000000000000000000,3.0000000000000000000000000000000,3.0000000000000000000000000000000,4798491.0000000000000000000000000000000,184300.0000000000000000000000000000000,-99.0000000000000000000000000000000,2010.0000000000000000000000000000000,-99.0000000000000000000000000000000,6. Developing region,2. High income: nonOECD,-99.0000000000000000000000000000000,,AE,ARE,784,784,AE,ARE,-99.0000000000000000000000000000000,ARE,ARE,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,Asia,Asia,Western Asia,Middle East & North Africa,20.0000000000000000000000000000000,20.0000000000000000000000000000000,6.0000000000000000000000000000000,-99.0000000000000000000000000000000,1.0000000000000000000000000000000,54.3001671016000031499970646109432,23.9052818784999985268768796231598
-65.179806925,-35.3813487953,8,1,Admin-0 country,2.0000000000000000000000000000000,Argentina,ARG,0.0000000000000000000000000000000,2.0000000000000000000000000000000,Sovereign country,Argentina,ARG,0.0000000000000000000000000000000,Argentina,ARG,0.0000000000000000000000000000000,Argentina,ARG,0.0000000000000000000000000000000,Argentina,Argentina,ARG,Argentina,,Arg.,AR,Argentine Republic,,,,Argentina,,3.0000000000000000000000000000000,1.0000000000000000000000000000000,3.0000000000000000000000000000000,13.0000000000000000000000000000000,40913584.0000000000000000000000000000000,573900.0000000000000000000000000000000,-99.0000000000000000000000000000000,2010.0000000000000000000000000000000,-99.0000000000000000000000000000000,5. Emerging region: G20,3. Upper middle income,-99.0000000000000000000000000000000,,AR,ARG,32,32,AR,ARG,-99.0000000000000000000000000000000,ARG,ARG,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,South America,Americas,South America,Latin America & Caribbean,9.0000000000000000000000000000000,9.0000000000000000000000000000000,4.0000000000000000000000000000000,-99.0000000000000000000000000000000,1.0000000000000000000000000000000,-65.1798069249999940666384645737708,-35.3813487952999992103286786004901
44.9299327564,40.2895256919,9,1,Admin-0 country,6.0000000000000000000000000000000,Armenia,ARM,0.0000000000000000000000000000000,2.0000000000000000000000000000000,Sovereign country,Armenia,ARM,0.0000000000000000000000000000000,Armenia,ARM,0.0000000000000000000000000000000,Armenia,ARM,0.0000000000000000000000000000000,Armenia,Armenia,ARM,Armenia,,Arm.,ARM,Republic of Armenia,,,,Armenia,,3.0000000000000000000000000000000,1.0000000000000000000000000000000,2.0000000000000000000000000000000,10.0000000000000000000000000000000,2967004.0000000000000000000000000000000,18770.0000000000000000000000000000000,-99.0000000000000000000000000000000,2001.0000000000000000000000000000000,-99.0000000000000000000000000000000,6. Developing region,4. Lower middle income,-99.0000000000000000000000000000000,,AM,ARM,51,51,AM,ARM,-99.0000000000000000000000000000000,ARM,ARM,-99.0000000000000000000000000000000,-99.0000000000000000000000000000000,Asia,Asia,Western Asia,Europe & Central Asia,7.0000000000000000000000000000000,7.0000000000000000000000000000000,4.0000000000000000000000000000000,-99.0000000000000000000000000000000,1.0000000000000000000000000000000,44.9299327563999995049925928469747,40.2895256919000033235533919651061
