Reporting Economy,Partner Economy Code,Partner Economy,Product/Sector Code,Product/Sector,Value
European Union,756,Switzerland,SI,"Telecommunications, computer, and information services",6209.093971
European Union,756,Switzerland,SJ,Other business services,22323.248388
European Union,756,Switzerland,SK,"Personal, cultural, and recreational services",2350.206292
European Union,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,335.592564
European Union,756,Switzerland,SOX,Commercial services,82197.002442
European Union,756,Switzerland,SOX1,Other commercial services,62417.577522
European Union,756,Switzerland,SPX1,Memo item: Other services,62753.170086
European Union,756,Switzerland,SPX4,Goods-related services,2180.670183
Euro Area (19),756,Switzerland,S,Memo item: Total services,70816.915174
Euro Area (19),756,Switzerland,SOX,Commercial services,70591.466718
Australia,756,Switzerland,S,Memo item: Total services,785.6
Australia,756,Switzerland,SB,Maintenance and repair services n.i.e.,0
Australia,756,Switzerland,SC,Transport,259.1
Australia,756,Switzerland,SD,Travel,226.1
Australia,756,Switzerland,SE,Construction,0
Australia,756,Switzerland,SF,Insurance and pension services,0.8
Australia,756,Switzerland,SG,Financial services,6.9
Australia,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,26.8
Australia,756,Switzerland,SI,"Telecommunications, computer, and information services",85.1
Australia,756,Switzerland,SJ,Other business services,147.9
Australia,756,Switzerland,SK,"Personal, cultural, and recreational services",29.1
Australia,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,4.6
Australia,756,Switzerland,SOX,Commercial services,781
Australia,756,Switzerland,SOX1,Other commercial services,295.8
Australia,756,Switzerland,SPX1,Memo item: Other services,300.4
Australia,756,Switzerland,SPX4,Goods-related services,0
Austria,756,Switzerland,S,Memo item: Total services,5339.092197
Austria,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,909.010123
Austria,756,Switzerland,SB,Maintenance and repair services n.i.e.,22.773315
Austria,756,Switzerland,SC,Transport,890.429238
Austria,756,Switzerland,SD,Travel,1375.481922
Austria,756,Switzerland,SE,Construction,50.909166
Austria,756,Switzerland,SF,Insurance and pension services,3.386822
Austria,756,Switzerland,SG,Financial services,93.18479
Austria,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,73.689501
Austria,756,Switzerland,SI,"Telecommunications, computer, and information services",380.948528
Austria,756,Switzerland,SJ,Other business services,1501.832414
Austria,756,Switzerland,SK,"Personal, cultural, and recreational services",36.272454
Austria,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0
Austria,756,Switzerland,SOX,Commercial services,5339.092197
Austria,756,Switzerland,SOX1,Other commercial services,2141.397598
Austria,756,Switzerland,SPX1,Memo item: Other services,2141.397598
Austria,756,Switzerland,SPX4,Goods-related services,931.783438
Belgium,756,Switzerland,S,Memo item: Total services,8258.255624
Belgium,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,1494.987632
Belgium,756,Switzerland,SC,Transport,2360.273471
Belgium,756,Switzerland,SD,Travel,124.701504
Belgium,756,Switzerland,SE,Construction,45.856083
Belgium,756,Switzerland,SF,Insurance and pension services,114.86728
Belgium,756,Switzerland,SG,Financial services,284.667197
Belgium,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,168.084174
Belgium,756,Switzerland,SI,"Telecommunications, computer, and information services",497.336846
Belgium,756,Switzerland,SJ,Other business services,2995.751363
Belgium,756,Switzerland,SK,"Personal, cultural, and recreational services",49.049177
Belgium,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0
Belgium,756,Switzerland,SOX,Commercial services,8258.255624
Belgium,756,Switzerland,SOX1,Other commercial services,4278.293017
Belgium,756,Switzerland,SPX1,Memo item: Other services,4278.293017
Belgium,756,Switzerland,SPX4,Goods-related services,1494.987632
Bulgaria,756,Switzerland,S,Memo item: Total services,165.432696
Bulgaria,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,2.298857
Bulgaria,756,Switzerland,SB,Maintenance and repair services n.i.e.,0
Bulgaria,756,Switzerland,SC,Transport,15.458291
Bulgaria,756,Switzerland,SD,Travel,20.715459
Bulgaria,756,Switzerland,SE,Construction,0.095354
Bulgaria,756,Switzerland,SF,Insurance and pension services,0.217558
Bulgaria,756,Switzerland,SG,Financial services,1.598058
Bulgaria,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,5.668401
Bulgaria,756,Switzerland,SI,"Telecommunications, computer, and information services",63.811963
Bulgaria,756,Switzerland,SJ,Other business services,45.104288
Bulgaria,756,Switzerland,SK,"Personal, cultural, and recreational services",10.464467
Bulgaria,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0
Bulgaria,756,Switzerland,SOX,Commercial services,165.432696
Bulgaria,756,Switzerland,SOX1,Other commercial services,126.960089
Bulgaria,756,Switzerland,SPX1,Memo item: Other services,126.960089
Bulgaria,756,Switzerland,SPX4,Goods-related services,2.298857
Croatia,756,Switzerland,S,Memo item: Total services,522.351566
Croatia,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,22.20912
Croatia,756,Switzerland,SB,Maintenance and repair services n.i.e.,3.46335
Croatia,756,Switzerland,SC,Transport,27.971375
Croatia,756,Switzerland,SD,Travel,335.268656
Croatia,756,Switzerland,SE,Construction,0.306186
Croatia,756,Switzerland,SF,Insurance and pension services,0.564176
Croatia,756,Switzerland,SG,Financial services,1.182355
Croatia,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,2.405815
Croatia,756,Switzerland,SI,"Telecommunications, computer, and information services",15.836065
Croatia,756,Switzerland,SJ,Other business services,105.879372
Croatia,756,Switzerland,SK,"Personal, cultural, and recreational services",6.802848
Croatia,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0
Croatia,756,Switzerland,SOX,Commercial services,522.351566
Croatia,756,Switzerland,SOX1,Other commercial services,133.439065
Croatia,756,Switzerland,SPX1,Memo item: Other services,133.439065
Croatia,756,Switzerland,SPX4,Goods-related services,25.672471
Cyprus,756,Switzerland,S,Memo item: Total services,229.316777
Cyprus,756,Switzerland,SC,Transport,153.186776
Cyprus,756,Switzerland,SD,Travel,58.632969
Cyprus,756,Switzerland,SG,Financial services,5.579034
Cyprus,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0
Cyprus,756,Switzerland,SOX,Commercial services,229.316777
Cyprus,756,Switzerland,SOX1,Other commercial services,17.497032
Cyprus,756,Switzerland,SPX1,Memo item: Other services,17.497032
Czech Republic,756,Switzerland,S,Memo item: Total services,1434.996117
Czech Republic,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,409.650474
Czech Republic,756,Switzerland,SB,Maintenance and repair services n.i.e.,57.274043
Czech Republic,756,Switzerland,SC,Transport,161.379632
Czech Republic,756,Switzerland,SD,Travel,63.520264
Czech Republic,756,Switzerland,SE,Construction,22.239885
Czech Republic,756,Switzerland,SF,Insurance and pension services,2.257925
Czech Republic,756,Switzerland,SG,Financial services,6.217709
Czech Republic,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,111.695272
Czech Republic,756,Switzerland,SI,"Telecommunications, computer, and information services",184.615899
Czech Republic,756,Switzerland,SJ,Other business services,413.431579
Czech Republic,756,Switzerland,SK,"Personal, cultural, and recreational services",2.491712
Czech Republic,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0
Czech Republic,756,Switzerland,SOX,Commercial services,1434.996117
Czech Republic,756,Switzerland,SOX1,Other commercial services,743.171704
Czech Republic,756,Switzerland,SPX1,Memo item: Other services,743.171704
Czech Republic,756,Switzerland,SPX4,Goods-related services,466.924517
Denmark,756,Switzerland,S,Memo item: Total services,2445.759602
Denmark,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,174.506757
Denmark,756,Switzerland,SB,Maintenance and repair services n.i.e.,4.591034
Denmark,756,Switzerland,SC,Transport,1357.719417
Denmark,756,Switzerland,SD,Travel,105.897826
Denmark,756,Switzerland,SE,Construction,39.477692
Denmark,756,Switzerland,SF,Insurance and pension services,2.776351
Denmark,756,Switzerland,SG,Financial services,19.06306
Denmark,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,56.551444
Denmark,756,Switzerland,SI,"Telecommunications, computer, and information services",120.166156
Denmark,756,Switzerland,SJ,Other business services,504.184508
Denmark,756,Switzerland,SK,"Personal, cultural, and recreational services",61.43172
Denmark,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0.789845
Denmark,756,Switzerland,SOX,Commercial services,2444.969757
Denmark,756,Switzerland,SOX1,Other commercial services,802.254722
Denmark,756,Switzerland,SPX1,Memo item: Other services,803.044567
Denmark,756,Switzerland,SPX4,Goods-related services,179.097792
Estonia,756,Switzerland,S,Memo item: Total services,216.65111
Estonia,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,25.320385
Estonia,756,Switzerland,SC,Transport,114.788157
Estonia,756,Switzerland,SD,Travel,12.13807
Estonia,756,Switzerland,SF,Insurance and pension services,0.106907
Estonia,756,Switzerland,SG,Financial services,1.01101
Estonia,756,Switzerland,SI,"Telecommunications, computer, and information services",25.072735
Estonia,756,Switzerland,SJ,Other business services,34.379995
Estonia,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0.907397
Estonia,756,Switzerland,SOX,Commercial services,215.743714
Estonia,756,Switzerland,SOX1,Other commercial services,63.497101
Estonia,756,Switzerland,SPX1,Memo item: Other services,64.404497
Estonia,756,Switzerland,SPX4,Goods-related services,25.320385
Finland,756,Switzerland,S,Memo item: Total services,1386.595005
Finland,756,Switzerland,SD,Travel,52.85986
Finland,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,1.614197
Finland,756,Switzerland,SOX,Commercial services,1384.980809
Finland,756,Switzerland,SOX1,Other commercial services,744.553333
Finland,756,Switzerland,SPX1,Memo item: Other services,746.16753
Germany,756,Switzerland,S,Memo item: Total services,25980.88938
Germany,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,3822.729731
Germany,756,Switzerland,SB,Maintenance and repair services n.i.e.,266.618687
Germany,756,Switzerland,SC,Transport,3454.395546
Germany,756,Switzerland,SD,Travel,4157.501637
Germany,756,Switzerland,SE,Construction,119.799379
Germany,756,Switzerland,SF,Insurance and pension services,445.608892
Germany,756,Switzerland,SG,Financial services,908.156588
Germany,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,850.452075
Germany,756,Switzerland,SI,"Telecommunications, computer, and information services",2157.644584
Germany,756,Switzerland,SJ,Other business services,9524.127459
Germany,756,Switzerland,SK,"Personal, cultural, and recreational services",269.90451
Germany,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,3.950292
Germany,756,Switzerland,SOX,Commercial services,25976.939088
Germany,756,Switzerland,SOX1,Other commercial services,14275.693487
Germany,756,Switzerland,SPX1,Memo item: Other services,14279.643779
Germany,756,Switzerland,SPX4,Goods-related services,4089.348418
Greece,756,Switzerland,S,Memo item: Total services,2696.457309
Greece,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,45.729796
Greece,756,Switzerland,SB,Maintenance and repair services n.i.e.,10.509141
Greece,756,Switzerland,SC,Transport,1857.315321
Greece,756,Switzerland,SD,Travel,392.267563
Greece,756,Switzerland,SE,Construction,19.016942
Greece,756,Switzerland,SF,Insurance and pension services,29.181468
Greece,756,Switzerland,SG,Financial services,4.564554
Greece,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,8.335674
Greece,756,Switzerland,SI,"Telecommunications, computer, and information services",44.177123
Greece,756,Switzerland,SJ,Other business services,208.540546
Greece,756,Switzerland,SK,"Personal, cultural, and recreational services",76.819181
Greece,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0
Greece,756,Switzerland,SOX,Commercial services,2696.457309
Greece,756,Switzerland,SOX1,Other commercial services,390.635489
Greece,756,Switzerland,SPX1,Memo item: Other services,390.635489
Greece,756,Switzerland,SPX4,Goods-related services,56.238937
Hungary,756,Switzerland,S,Memo item: Total services,1086.677185
Hungary,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,301.825781
Hungary,756,Switzerland,SB,Maintenance and repair services n.i.e.,42.737341
Hungary,756,Switzerland,SC,Transport,148.295475
Hungary,756,Switzerland,SD,Travel,88.760949
Hungary,756,Switzerland,SE,Construction,4.2336
Hungary,756,Switzerland,SF,Insurance and pension services,0.2292
Hungary,756,Switzerland,SG,Financial services,2.479258
Hungary,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,3.365953
Hungary,756,Switzerland,SI,"Telecommunications, computer, and information services",60.760818
Hungary,756,Switzerland,SJ,Other business services,399.759913
Hungary,756,Switzerland,SOX1,Other commercial services,470.828742
Hungary,756,Switzerland,SPX1,Memo item: Other services,470.828742
Hungary,756,Switzerland,SPX4,Goods-related services,344.563122
Ireland,756,Switzerland,S,Memo item: Total services,4029.627446
Ireland,756,Switzerland,SC,Transport,121.341406
Ireland,756,Switzerland,SE,Construction,0
Ireland,756,Switzerland,SF,Insurance and pension services,54.197033
Ireland,756,Switzerland,SG,Financial services,260.281018
Ireland,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,191.186111
Ireland,756,Switzerland,SI,"Telecommunications, computer, and information services",2780.422294
Ireland,756,Switzerland,SJ,Other business services,622.199585
Ireland,756,Switzerland,SK,"Personal, cultural, and recreational services",0
Ireland,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0
Ireland,756,Switzerland,SOX,Commercial services,4029.627446
Ireland,756,Switzerland,SOX1,Other commercial services,3908.28604
Ireland,756,Switzerland,SPX1,Memo item: Other services,3908.28604
Italy,756,Switzerland,S,Memo item: Total services,9900.740754
Italy,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,570.967189
Italy,756,Switzerland,SB,Maintenance and repair services n.i.e.,28.789114
Italy,756,Switzerland,SC,Transport,607.95106
Italy,756,Switzerland,SD,Travel,2811.959828
Italy,756,Switzerland,SE,Construction,4.101276
Italy,756,Switzerland,SF,Insurance and pension services,149.91586
Italy,756,Switzerland,SG,Financial services,70.038613
Italy,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,981.184468
Italy,756,Switzerland,SI,"Telecommunications, computer, and information services",370.880505
Italy,756,Switzerland,SJ,Other business services,4249.774161
Italy,756,Switzerland,SK,"Personal, cultural, and recreational services",44.001005
Italy,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0.358152
Italy,756,Switzerland,SOX,Commercial services,9900.382602
Italy,756,Switzerland,SOX1,Other commercial services,5880.71541
Italy,756,Switzerland,SPX1,Memo item: Other services,5881.073562
Italy,756,Switzerland,SPX4,Goods-related services,599.756304
Latvia,756,Switzerland,S,Memo item: Total services,306.373903
Latvia,756,Switzerland,SC,Transport,250.455932
Latvia,756,Switzerland,SD,Travel,8.063264
Latvia,756,Switzerland,SG,Financial services,9.025082
Latvia,756,Switzerland,SI,"Telecommunications, computer, and information services",7.896173
Latvia,756,Switzerland,SJ,Other business services,31.738089
Latvia,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0
Latvia,756,Switzerland,SOX,Commercial services,306.373903
Latvia,756,Switzerland,SOX1,Other commercial services,47.854707
Latvia,756,Switzerland,SPX1,Memo item: Other services,47.854707
Lithuania,756,Switzerland,S,Memo item: Total services,200.836034
Lithuania,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,-2.079124
Lithuania,756,Switzerland,SC,Transport,146.20511
Lithuania,756,Switzerland,SD,Travel,2.113656
Lithuania,756,Switzerland,SI,"Telecommunications, computer, and information services",12.630493
Lithuania,756,Switzerland,SJ,Other business services,41.568326
Lithuania,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0
Lithuania,756,Switzerland,SOX,Commercial services,200.836034
Lithuania,756,Switzerland,SOX1,Other commercial services,55.635954
Lithuania,756,Switzerland,SPX1,Memo item: Other services,55.635954
Luxembourg,756,Switzerland,S,Memo item: Total services,7633.692681
Luxembourg,756,Switzerland,SC,Transport,447.848177
Luxembourg,756,Switzerland,SD,Travel,11.340456
Luxembourg,756,Switzerland,SG,Financial services,6457.546573
Luxembourg,756,Switzerland,SJ,Other business services,107.956136
New Zealand,756,Switzerland,S,Memo item: Total services,145.7
New Zealand,756,Switzerland,SC,Transport,36.2
New Zealand,756,Switzerland,SD,Travel,85.3
New Zealand,756,Switzerland,SDA,Business,2.8
New Zealand,756,Switzerland,SDB2,Education-related,29.8
New Zealand,756,Switzerland,SDB3,Other (Personal),53.3
New Zealand,756,Switzerland,SF,Insurance and pension services,0
New Zealand,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,0.7
New Zealand,756,Switzerland,SI,"Telecommunications, computer, and information services",0.7
New Zealand,756,Switzerland,SJ,Other business services,13.5
New Zealand,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0.7
New Zealand,756,Switzerland,SOX,Commercial services,145
New Zealand,756,Switzerland,SOX1,Other commercial services,23.5
New Zealand,756,Switzerland,SPX1,Memo item: Other services,24.2
Poland,756,Switzerland,S,Memo item: Total services,4950.534818
Poland,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,1476.456647
Poland,756,Switzerland,SB,Maintenance and repair services n.i.e.,44.716141
Poland,756,Switzerland,SC,Transport,852.362674
Poland,756,Switzerland,SD,Travel,42.861923
Poland,756,Switzerland,SE,Construction,7.403266
Poland,756,Switzerland,SF,Insurance and pension services,12.266275
Poland,756,Switzerland,SG,Financial services,7.827296
Poland,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,0.155179
Poland,756,Switzerland,SI,"Telecommunications, computer, and information services",850.672153
Poland,756,Switzerland,SJ,Other business services,1641.066098
Poland,756,Switzerland,SK,"Personal, cultural, and recreational services",14.518514
Poland,756,Switzerland,SOX,Commercial services,4950.534818
Poland,756,Switzerland,SOX1,Other commercial services,2534.137433
Poland,756,Switzerland,SPX1,Memo item: Other services,2534.137433
Poland,756,Switzerland,SPX4,Goods-related services,1521.172787
Portugal,756,Switzerland,S,Memo item: Total services,1263.012594
Portugal,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,6.512995
Portugal,756,Switzerland,SB,Maintenance and repair services n.i.e.,3.191524
Portugal,756,Switzerland,SC,Transport,287.523499
Portugal,756,Switzerland,SD,Travel,446.368376
Portugal,756,Switzerland,SE,Construction,4.845536
Portugal,756,Switzerland,SF,Insurance and pension services,14.56678
Portugal,756,Switzerland,SG,Financial services,21.662533
Portugal,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,21.958469
Portugal,756,Switzerland,SI,"Telecommunications, computer, and information services",50.14368
Portugal,756,Switzerland,SJ,Other business services,358.58481
Portugal,756,Switzerland,SK,"Personal, cultural, and recreational services",27.573047
Portugal,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,1.269359
Portugal,756,Switzerland,SOX,Commercial services,1261.743235
Portugal,756,Switzerland,SOX1,Other commercial services,518.146841
Portugal,756,Switzerland,SPX1,Memo item: Other services,519.4162
Portugal,756,Switzerland,SPX4,Goods-related services,9.704519
Romania,756,Switzerland,S,Memo item: Total services,945.072644
Romania,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,97.366469
Romania,756,Switzerland,SC,Transport,116.434102
Romania,756,Switzerland,SD,Travel,36.826833
Romania,756,Switzerland,SG,Financial services,15.331772
Romania,756,Switzerland,SI,"Telecommunications, computer, and information services",235.523417
Romania,756,Switzerland,SJ,Other business services,432.455127
Romania,756,Switzerland,SPX4,Goods-related services,97.366469
Slovak Republic,756,Switzerland,S,Memo item: Total services,374.606834
Slovak Republic,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,6.575614
Slovak Republic,756,Switzerland,SB,Maintenance and repair services n.i.e.,5.31905
Slovak Republic,756,Switzerland,SC,Transport,88.607384
Slovak Republic,756,Switzerland,SD,Travel,15.551839
Slovak Republic,756,Switzerland,SE,Construction,2.732201
Slovak Republic,756,Switzerland,SF,Insurance and pension services,1.188908
Slovak Republic,756,Switzerland,SG,Financial services,0.342002
Slovak Republic,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,4.380918
Slovak Republic,756,Switzerland,SI,"Telecommunications, computer, and information services",32.823909
Slovak Republic,756,Switzerland,SJ,Other business services,215.396514
Slovak Republic,756,Switzerland,SK,"Personal, cultural, and recreational services",0.549809
Slovak Republic,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0
Slovak Republic,756,Switzerland,SOX,Commercial services,374.606834
Slovak Republic,756,Switzerland,SOX1,Other commercial services,258.552947
Slovak Republic,756,Switzerland,SPX1,Memo item: Other services,258.552947
Slovak Republic,756,Switzerland,SPX4,Goods-related services,11.894663
Slovenia,756,Switzerland,S,Memo item: Total services,384.479732
Slovenia,756,Switzerland,SA,Manufacturing services on physical inputs owned by others,0.48913
Slovenia,756,Switzerland,SB,Maintenance and repair services n.i.e.,5.917796
Slovenia,756,Switzerland,SC,Transport,78.992942
Slovenia,756,Switzerland,SD,Travel,25.382406
Slovenia,756,Switzerland,SE,Construction,13.145638
Slovenia,756,Switzerland,SF,Insurance and pension services,2.464083
Slovenia,756,Switzerland,SG,Financial services,2.136497
Slovenia,756,Switzerland,SH,Charges for the use of intellectual property n.i.e.,1.700717
Slovenia,756,Switzerland,SI,"Telecommunications, computer, and information services",27.812907
Slovenia,756,Switzerland,SJ,Other business services,224.133888
Slovenia,756,Switzerland,SK,"Personal, cultural, and recreational services",2.231622
Slovenia,756,Switzerland,SL,Memo item: Government goods and services n.i.e.,0.243727
Slovenia,756,Switzerland,SOX,Commercial services,384.236005
Slovenia,756,Switzerland,SOX1,Other commercial services,273.45373
Slovenia,756,Switzerland,SPX1,Memo item: Other services,273.697458
