"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy","Partner Economy Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","756","Switzerland","076","Brazil","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2016","E","Estimate","","99.8"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","756","Switzerland","076","Brazil","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2016","E","Estimate","","7.1"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","756","Switzerland","076","Brazil","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2016","E","Estimate","","26.7"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","756","Switzerland","076","Brazil","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2016","E","Estimate","","13.7"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","756","Switzerland","076","Brazil","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2016","E","Estimate","","19.4"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","756","Switzerland","124","Canada","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2016","E","Estimate","","211.8"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","756","Switzerland","124","Canada","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2016","E","Estimate","","17.7"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","756","Switzerland","124","Canada","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2016","E","Estimate","","41.5"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","756","Switzerland","124","Canada","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2016","E","Estimate","","18.3"
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-onwards)","756","Switzerland","124","Canada","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2016","E","Estimate","","93.2"
